id_ligne;sens;societe;raison_sociale;campagne_appro;date_operation;nom_mois_date_operation;annee_date_operation;code_site;bon_origine;code_type_document;numero_bon;code_type_ligne;responsable_region;technicien;code_tiers;tiers_facture;code_famille;famille_2;famille_3;code_produit;libelle_produit;dose_hectare;pourcentage_azote;quantite;reste_a_livrer;unite;prix_net;montant_ht;facture;created_at;updated_at;data_hash
301221;V;1000001;INTERVAL;2021-2022;30/09/2021 02:00;September;2021;108;;BLF;1,111E+17;1;BILLARD CHRISTOPHE;DESBOIS Quentin;12334;Mr DENIS LONJARRET;42;SEMENCES BLES;SEM. BLE HIVER;20015934;BLE FRUCTIDOR R1 VIG  600KG;0.150000;0.0000;1.8000;0.0000;Tonne;500.100000;900.18;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;9c15bb164d7d90b47ec84d3b35da5f8d
301212;V;1000001;INTERVAL;2021-2022;26/10/2021 02:00;October;2021;108;;BLF;1,111E+17;1;BILLARD CHRISTOPHE;DESBOIS Quentin;13322;Mr DIDIER RAMEAUX;42;SEMENCES BLES;SEM. BLE HIVER;20015934;BLE FRUCTIDOR R1 VIG  600KG;0.150000;0.0000;0.6000;0.0000;Tonne;500.100000;300.06;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;5d69843dc77ee9aeeffae09e94e7c46d
301391;V;1000001;INTERVAL;2021-2022;22/10/2021 02:00;October;2021;173;;BLF;1,111E+17;1;BILLARD CHRISTOPHE;DESBOIS Quentin;11930;GAEC DE LA DORME;42;SEMENCES BLES;SEM. BLE HIVER;20015959;BLE IONESCO R1 VIG  25KG;0.150000;0.0000;0.1250;0.0000;Tonne;500.100000;62.51;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;eef3238ead99a3e1ea664b98e7a8895c
301227;V;1000001;INTERVAL;2021-2022;28/09/2021 02:00;September;2021;173;;BLF;1,111E+17;1;BILLARD CHRISTOPHE;DESBOIS Quentin;12189;EARL DE L' ETEINCHE;42;SEMENCES BLES;SEM. BLE HIVER;20015934;BLE FRUCTIDOR R1 VIG  600KG;0.150000;0.0000;2.4000;0.0000;Tonne;500.100000;1200.24;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;02688c63d675b941fd9a7fb4442e1b4b
301435;V;1000001;INTERVAL;2021-2022;21/10/2021 02:00;October;2021;173;;BLF;1,111E+17;1;BILLARD CHRISTOPHE;DESBOIS Quentin;46456;Mr ROMARIC GOMET;42;SEMENCES BLES;SEM. BLE HIVER;20015965;BLE PIRENEO R1 VIG  25KG;0.150000;0.0000;0.0500;0.0000;Tonne;563.100000;28.16;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;6f27b95d7dbf45d99965a44870dac4c4
301211;V;1000001;INTERVAL;2021-2022;26/10/2021 02:00;October;2021;108;;BLF;1,111E+17;1;BILLARD CHRISTOPHE;DESBOIS Quentin;13322;Mr DIDIER RAMEAUX;42;SEMENCES BLES;SEM. BLE HIVER;20015934;BLE FRUCTIDOR R1 VIG  600KG;0.150000;0.0000;0.6000;0.0000;Tonne;500.100000;300.06;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;686a5700a55b6755cea230b72c0c8dd3
666761;V;1000001;INTERVAL;2022-2023;28/06/2023 02:00;June;2023;185;;BLF;1,111E+17;1;ROBITAILLE ERIC;BOEUF Julien;10504;GAEC DES BOURGEONS;43;MATIERE 1ERE ET PRODUIT SIMPLE;PRODUIT DESHYDRATE;20001356;CORN GLUTENFEED        VRAC;0.000000;0.0000;0.3120;0.0000;Tonne;425.000000;132.60;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;f8d36b256e68ef7ff813d6fd439c48b7
666794;V;1000001;INTERVAL;2022-2023;14/06/2023 02:00;June;2023;1AS;;BLF;1,111E+17;1;ROBITAILLE ERIC;PAQUIEZ Pierre-Alexandre;49606;Mr ANTOINE CORIOU;43;ALIMENT FABRIQUE;Gamme Terre-Comtoise;20020408;ESTIVAL COMTOIS 40  25KG              TC;0.000000;0.0000;0.0500;0.0000;Tonne;740.000000;37.00;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;4a89fe694469d0a6be2bd286cf1c43d5
1489256;V;1000001;INTERVAL;2025-2026;05/01/2026 01:00;January;2026;121;;BCCF;BCCF-INT0012348;1;MANDRET BENOIT;TISSOT Stéphane;2449;EARL OUDIN STEPHANE;42;SEMENCES MAIS;SEM.MAIS KORIT;20021435;MAIS SYTOPAZE KOR 1576 50K GN  DOSE;0.000000;0.0000;14.0000;0.0000;DOSE;118.300000;1656.20;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;51ddbdb0cafc2324130e638c0705137e
1520486;V;1000001;INTERVAL;2025-2026;23/01/2026 01:00;January;2026;185;;BLF;BLF-INT0068238;1;ROBITAILLE ERIC;LEPAGE Julien;2172;GAEC DE VOINALOT;43;ALIMENT MINERAUX VITAMINES;INCORPO MR;20012207;SANTALMASH REPRO GR VRAC              MR;0.000000;0.0000;0.1040;0.0000;Tonne;1372.000000;142.69;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;000583136878ab0926c6497e76077ad9
